County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0041328
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 1c FOOD HANDLER CARDS
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 7 HOT AND COLD HOLDING TEMPERATURES
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 29 IDENTIFICATION AND STORAGE OF TOXIC SUBSTANCES
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 35 EQUIPMENT APPROVED AND MAINTAINED
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 38 VENTILATION AND LIGHTING
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 42 GARBAGE AND REFUSE DISPOSAL
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 44a PREMISES KEPT FREE OF UNUSED EQUIPMENT
"
FA0041328,THE RED RABBIT KITCHEN AND BAR,SONNY MAYUGBA,2718 J ST,Sacramento,95816,"# 44d EMPLOYEE PERSONAL ITEMS
"
