County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0002467
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 13 FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 1a DEMONSTRATION OF KNOWLEDGE
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 1b FOOD SAFETY CERTIFICATION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 1c FOOD HANDLER CARDS
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 7 HOT AND COLD HOLDING TEMPERATURES
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 23 VERMIN AND ANIMAL CONTAMINATION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 30a FOOD STORED IN APPROVED LOCATION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 35 EQUIPMENT APPROVED AND MAINTAINED
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 36 EQUIPMENT STORED IN APPROVED LOCATION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 38 VENTILATION AND LIGHTING
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 41 PLUMBING FIXTURES AND BACKFLOW PREVENTION
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 44a PREMISES KEPT FREE OF UNUSED EQUIPMENT
"
FA0002467,NEW ROMA BAKERY,TIM R COSTA,1800 E ST,Sacramento,95811,"# 44c MOP SINK AND JANITORIAL AREA
"
