County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0003688
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 7 HOT AND COLD HOLDING TEMPERATURES
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 1b FOOD SAFETY CERTIFICATION
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 4 EATING, DRINKING, OR TOBACCO USE
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 30a FOOD STORED IN APPROVED LOCATION
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 32b COMPLIANCE WITH TRANS FAT BAN
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 35 EQUIPMENT APPROVED AND MAINTAINED
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 36 EQUIPMENT STORED IN APPROVED LOCATION
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 38 VENTILATION AND LIGHTING
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 42 GARBAGE AND REFUSE DISPOSAL
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 45 FLOOR, WALL, AND CEILING FINISHES
"
FA0003688,KABOB HOUSE,ELIAS ABOUFARES,1726 FULTON AVE,Sacramento,95825,"# 50 IMPOUNDMENT OF FOOD, UTENSILS, AND EQUIPMENT
"
