County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0004065
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 4 EATING, DRINKING, OR TOBACCO USE
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 5a HANDWASHING PROCEDURES
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 7 HOT AND COLD HOLDING TEMPERATURES
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 14a FOOD CONTACT SURFACES CLEANED AND SANITIZED
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 14b WAREWASHING AND SANITIZING PROCEDURES
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 41 PLUMBING FIXTURES AND BACKFLOW PREVENTION
"
FA0004065,MOXIE,MOXIE SR INC,2028 H ST,Sacramento,95811,"# 45 FLOOR, WALL, AND CEILING FINISHES
"
